Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad,NObeyesdad_encoded,Gender_Female,Gender_Male,family_history_with_overweight_no,family_history_with_overweight_yes,FAVC_no,FAVC_yes,CAEC_Always,CAEC_Frequently,CAEC_Sometimes,CAEC_no,SMOKE_no,SMOKE_yes,SCC_no,SCC_yes,CALC_Frequently,CALC_Sometimes,CALC_no,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking,Age_scaled,Height_scaled,Weight_scaled,FCVC_scaled,NCP_scaled,CH2O_scaled,FAF_scaled,TUE_scaled
Male,24.443011,1.699998,81.66995,yes,yes,2.0,2.983297,Sometimes,no,2.763573,no,0.0,0.976473,Sometimes,Public_Transportation,Overweight_Level_II,6,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,0.10569856842878339,-0.0028282638401315213,-0.23571264030321867,-0.8362789789090057,0.3146839156847261,1.2065936498850072,-1.1711414639346838,0.5974379496481593
Female,18.0,1.56,57.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,no,Automobile,Normal_Weight,1,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,-1.0270519040924706,-1.6062908288777047,-1.1709311806469587,-0.8362789789090057,0.3383641026929108,-0.0483492965083764,0.021774831905498098,0.6365129207568967
Female,18.0,1.71146,50.165754,yes,yes,1.880534,1.411685,Sometimes,no,1.910378,no,0.866045,1.673584,no,Public_Transportation,Insufficient_Weight,0,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,-1.0270519040924706,0.12845138244382123,-1.4300121098126053,-1.0603315110563896,-1.9134227755867184,-0.19564431183980893,-0.13802227050377353,1.7552392921305418
Female,20.952737,1.71073,131.274851,yes,yes,3.0,3.0,Sometimes,no,1.674061,no,1.467863,0.780199,Sometimes,Public_Transportation,Obesity_Type_III,4,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,-0.507929054235317,0.12009035105424949,1.6447704213615086,1.0391712089886695,0.3383641026929108,-0.5840346193321444,0.579896228826173,0.27145499902137654
Male,31.641081,1.914186,93.798055,yes,yes,2.679664,1.971472,Sometimes,no,1.979848,no,1.967973,0.931721,Sometimes,Public_Transportation,Overweight_Level_II,6,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,1.3711965155440478,2.4503670666665056,0.2240543497083387,0.4383969975982796,-1.1198012198930942,-0.08146939145112503,1.1764855975388064,0.5231112991165058
Male,18.128249,1.748524,51.552595,yes,yes,2.919751,3.0,Sometimes,no,2.13755,no,1.930033,1.0,Sometimes,Public_Transportation,Insufficient_Weight,0,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,-1.0045043536769307,0.5529627076809864,-1.3774380504525803,0.8886682068600695,0.3383641026929108,0.1777160597527931,1.13122635327463,0.6365129207568967
Male,29.883021,1.754711,112.725005,yes,yes,1.99124,3.0,Sometimes,no,2.0,no,0.0,0.696948,Sometimes,Automobile,Obesity_Type_II,3,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,1.0621107021377512,0.6238253120745305,0.9415602446193111,-0.8527079225549895,0.3383641026929108,-0.0483492965083764,-1.1711414639346838,0.13318703371455912
Male,29.891473,1.75015,118.206565,yes,yes,1.397468,3.0,Sometimes,no,2.0,no,0.598655,0.0,Sometimes,Automobile,Obesity_Type_II,3,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,1.06359665443455,0.5715860460911873,1.1493619038041345,-1.9662977315233678,0.3383641026929108,-0.0483492965083764,-0.45699615884847966,-1.0243435891567076
Male,17.0,1.7,70.0,no,yes,2.0,3.0,Sometimes,no,3.0,yes,1.0,1.0,no,Public_Transportation,Overweight_Level_I,5,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,-1.2028626349015992,-0.0028053569048169646,-0.6781113320267296,-0.8362789789090057,0.3383641026929108,1.59516474392179,0.021774831905498098,0.6365129207568967
Female,26.0,1.638836,111.275646,yes,yes,3.0,3.0,Sometimes,no,2.632253,no,0.0,0.218645,Sometimes,Public_Transportation,Obesity_Type_III,4,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,0.37943394238055794,-0.7033452526744581,0.886616176698052,1.0391712089886695,0.3383641026929108,0.9907673860957176,-1.1711414639346838,-0.6612056175466476
